file_name,file_size_bytes,repetitions,mean_transfer_time,stddev_transfer_time,mean_throughput_bps,stddev_throughput_bps,mean_overhead_ratio,stddev_overhead_ratio
B_10kB,10240,1000,0.0051604359149932865,0.003279855908626233,2320696.020240933,783175.4570235892,1.0396484375,0.0
B_100kB,102400,100,0.006476681232452392,0.0027909688200375925,18884668.520208538,7946938.499432358,1.003984375,0.0
B_1MB,1048576,10,0.01693394184112549,0.0044925638318153915,66998649.337061524,21671352.263673455,1.0003881454467773,0.0
B_10MB,10485760,1,0.11710119247436523,0,89544433.99280883,0,1.000039005279541,0
